Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Run,GyroX,GyroY,GyroZ
1,2025-10-19T15:14:29.840Z,53.8232797,17.3410498,145.1,0.06,0.000,0.030,1.001,1,0.00,0.01,0.00
2,2025-10-19T15:14:29.880Z,53.8232797,17.3410496,145.1,1.23,0.000,0.030,1.001,1,0.00,0.01,0.00
3,2025-10-19T15:14:29.920Z,53.8232798,17.3410497,145.1,0.36,0.000,0.030,1.001,1,0.00,0.01,0.00
4,2025-10-19T15:14:29.960Z,53.8232797,17.3410497,145.1,0.03,0.000,0.030,1.001,1,0.00,0.01,0.00
5,2025-10-19T15:14:30.040Z,53.8232797,17.3410497,145.1,0.18,0.000,0.030,1.001,1,0.00,0.01,0.00
6,2025-10-19T15:14:30.080Z,53.8232798,17.3410497,145.1,0.35,0.000,0.030,1.001,1,0.00,0.01,0.00
7,2025-10-19T15:14:30.120Z,53.8232798,17.3410497,145.1,0.13,0.000,0.030,1.001,1,0.00,0.01,0.00
8,2025-10-19T15:14:30.160Z,53.8232798,17.3410497,145.1,0.20,0.001,0.030,1.001,1,0.00,0.01,0.00
9,2025-10-19T15:14:30.200Z,53.8232798,17.3410498,145.1,0.49,0.001,0.030,1.001,1,0.00,0.01,0.00
10,2025-10-19T15:14:30.240Z,53.8232798,17.3410498,145.1,0.16,0.001,0.030,1.002,1,0.00,0.00,0.00
11,2025-10-19T15:14:30.280Z,53.8232798,17.3410498,145.1,0.15,0.001,0.030,1.002,1,0.00,0.00,0.00
12,2025-10-19T15:14:30.320Z,53.8232798,17.3410498,145.1,0.23,0.001,0.030,1.002,1,0.00,0.00,-0.01
13,2025-10-19T15:14:41.640Z,53.8232809,17.3410455,145.4,0.88,0.028,0.026,1.002,1,-0.02,0.06,-0.12
14,2025-10-19T15:14:41.680Z,53.8232809,17.3410454,145.4,1.01,0.031,0.026,1.000,1,-0.01,0.04,-0.12
15,2025-10-19T15:14:41.720Z,53.8232809,17.3410453,145.4,1.05,0.034,0.026,0.999,1,0.01,0.05,-0.12
16,2025-10-19T15:14:41.760Z,53.8232809,17.3410451,145.4,1.11,0.036,0.026,0.999,1,0.03,0.07,-0.11
17,2025-10-19T15:14:41.800Z,53.8232809,17.3410449,145.4,0.84,0.037,0.026,0.999,1,0.06,0.10,-0.11
18,2025-10-19T15:14:41.840Z,53.8232809,17.3410447,145.4,1.24,0.037,0.026,1.001,1,0.07,0.11,-0.12
19,2025-10-19T15:14:41.880Z,53.8232809,17.3410444,145.4,1.51,0.037,0.027,1.001,1,0.05,0.10,-0.14
20,2025-10-19T15:14:41.920Z,53.8232808,17.3410442,145.4,1.50,0.038,0.027,1.001,1,0.02,0.09,-0.16
21,2025-10-19T15:14:41.960Z,53.8232808,17.3410441,145.4,0.98,0.036,0.026,1.001,1,0.00,0.08,-0.18
22,2025-10-19T15:14:42.040Z,53.8232807,17.3410438,145.4,1.01,0.032,0.026,1.002,1,0.03,0.07,-0.18
23,2025-10-19T15:14:42.080Z,53.8232809,17.3410433,145.4,1.62,0.027,0.026,1.001,1,0.07,0.05,-0.18
24,2025-10-19T15:14:42.120Z,53.8232808,17.3410430,145.4,1.58,0.020,0.025,1.001,1,0.13,0.04,-0.18
25,2025-10-19T15:14:42.160Z,53.8232808,17.3410427,145.4,2.04,0.013,0.026,1.000,1,0.21,0.05,-0.17
26,2025-10-19T15:14:42.200Z,53.8232808,17.3410424,145.4,1.83,0.007,0.027,0.999,1,0.27,0.08,-0.16
27,2025-10-19T15:14:42.240Z,53.8232808,17.3410420,145.4,2.07,0.002,0.028,0.999,1,0.31,0.11,-0.15
28,2025-10-19T15:14:42.280Z,53.8232807,17.3410417,145.4,1.84,-0.002,0.029,1.000,1,0.32,0.15,-0.14
29,2025-10-19T15:14:42.320Z,53.8232807,17.3410417,145.4,1.09,-0.005,0.030,1.003,1,0.28,0.16,-0.14
30,2025-10-19T15:14:42.360Z,53.8232807,17.3410416,145.4,0.54,-0.009,0.031,1.003,1,0.23,0.14,-0.14
31,2025-10-19T15:14:42.400Z,53.8232807,17.3410415,145.4,0.60,-0.011,0.030,1.003,1,0.17,0.11,-0.14
32,2025-10-19T15:14:42.440Z,53.8232807,17.3410412,145.4,1.25,-0.012,0.029,1.001,1,0.15,0.10,-0.13
33,2025-10-19T15:14:42.480Z,53.8232806,17.3410409,145.4,1.46,-0.011,0.027,0.999,1,0.15,0.11,-0.14
34,2025-10-19T15:14:42.520Z,53.8232806,17.3410406,145.4,1.71,-0.010,0.027,0.998,1,0.16,0.15,-0.16
35,2025-10-19T15:14:42.560Z,53.8232807,17.3410402,145.4,2.07,-0.008,0.026,0.999,1,0.17,0.19,-0.21
36,2025-10-19T15:14:42.600Z,53.8232806,17.3410399,145.4,1.82,-0.007,0.026,1.001,1,0.17,0.21,-0.27
37,2025-10-19T15:14:42.640Z,53.8232806,17.3410399,145.4,1.30,-0.006,0.026,1.005,1,0.12,0.19,-0.34
38,2025-10-19T15:14:42.680Z,53.8232806,17.3410396,145.4,1.45,-0.008,0.027,1.008,1,0.04,0.13,-0.40
39,2025-10-19T15:14:42.720Z,53.8232806,17.3410394,145.4,1.20,-0.011,0.028,1.008,1,-0.08,0.04,-0.47
40,2025-10-19T15:14:42.760Z,53.8232806,17.3410393,145.4,0.94,-0.014,0.029,1.008,1,-0.23,-0.04,-0.53
41,2025-10-19T15:14:42.800Z,53.8232806,17.3410393,145.4,0.85,-0.016,0.029,1.005,1,-0.38,-0.13,-0.59
42,2025-10-19T15:14:42.840Z,53.8232806,17.3410390,145.4,1.15,-0.017,0.027,1.003,1,-0.48,-0.18,-0.64
43,2025-10-19T15:14:42.880Z,53.8232806,17.3410387,145.4,1.20,-0.016,0.025,1.002,1,-0.51,-0.20,-0.68
44,2025-10-19T15:14:42.920Z,53.8232806,17.3410384,145.4,1.63,-0.016,0.022,1.001,1,-0.47,-0.20,-0.71
45,2025-10-19T15:14:42.960Z,53.8232806,17.3410382,145.4,1.51,-0.015,0.021,1.001,1,-0.37,-0.15,-0.75
46,2025-10-19T15:14:43.040Z,53.8232806,17.3410378,145.3,1.61,-0.016,0.020,1.000,1,-0.25,-0.09,-0.81
