Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Run,GyroX,GyroY,GyroZ
47,2025-10-19T15:14:43.080Z,53.8232806,17.3410375,145.3,1.74,-0.016,0.020,1.001,1,-0.15,-0.01,-0.89
48,2025-10-19T15:14:43.120Z,53.8232807,17.3410372,145.4,1.49,-0.016,0.020,1.002,1,-0.08,0.03,-0.97
49,2025-10-19T15:14:43.160Z,53.8232807,17.3410372,145.4,0.97,-0.016,0.021,1.001,1,-0.03,0.07,-1.07
50,2025-10-19T15:14:43.200Z,53.8232807,17.3410372,145.4,0.70,-0.017,0.021,1.002,1,-0.02,0.09,-1.16
51,2025-10-19T15:14:43.240Z,53.8232807,17.3410370,145.4,0.73,-0.017,0.021,1.002,1,-0.03,0.09,-1.24
52,2025-10-19T15:14:43.280Z,53.8232807,17.3410369,145.4,0.88,-0.018,0.021,1.003,1,-0.03,0.06,-1.33
53,2025-10-19T15:14:43.320Z,53.8232806,17.3410367,145.4,0.96,-0.019,0.018,1.005,1,0.00,0.04,-1.41
54,2025-10-19T15:14:43.360Z,53.8232806,17.3410366,145.4,0.77,-0.021,0.016,1.008,1,0.13,0.00,-1.47
55,2025-10-19T15:14:43.400Z,53.8232806,17.3410363,145.4,1.16,-0.023,0.016,1.009,1,0.31,-0.07,-1.51
56,2025-10-19T15:14:43.440Z,53.8232806,17.3410363,145.3,0.80,-0.025,0.019,1.007,1,0.48,-0.14,-1.54
57,2025-10-19T15:14:43.480Z,53.8232806,17.3410363,145.3,0.85,-0.027,0.025,1.004,1,0.54,-0.19,-1.57
58,2025-10-19T15:14:43.520Z,53.8232806,17.3410361,145.3,1.11,-0.030,0.031,0.999,1,0.47,-0.21,-1.61
59,2025-10-19T15:14:43.560Z,53.8232806,17.3410358,145.3,1.36,-0.032,0.035,0.997,1,0.30,-0.20,-1.63
60,2025-10-19T15:14:43.600Z,53.8232806,17.3410357,145.3,1.09,-0.034,0.035,0.997,1,0.10,-0.17,-1.63
61,2025-10-19T15:14:43.640Z,53.8232806,17.3410355,145.3,0.95,-0.036,0.033,0.999,1,-0.04,-0.15,-1.62
62,2025-10-19T15:14:43.680Z,53.8232806,17.3410354,145.3,0.80,-0.037,0.031,1.001,1,-0.11,-0.14,-1.58
63,2025-10-19T15:14:43.720Z,53.8232806,17.3410354,145.3,0.66,-0.038,0.031,1.002,1,-0.10,-0.14,-1.53
64,2025-10-19T15:14:43.760Z,53.8232805,17.3410353,145.3,0.28,-0.038,0.031,1.002,1,-0.06,-0.15,-1.47
65,2025-10-19T15:14:43.800Z,53.8232805,17.3410354,145.3,0.13,-0.037,0.033,1.001,1,-0.02,-0.14,-1.40
66,2025-10-19T15:14:43.840Z,53.8232805,17.3410354,145.3,0.44,-0.038,0.034,1.001,1,0.00,-0.12,-1.33
67,2025-10-19T15:14:43.880Z,53.8232805,17.3410354,145.3,0.62,-0.038,0.036,1.001,1,0.01,-0.09,-1.24
68,2025-10-19T15:14:43.920Z,53.8232805,17.3410354,145.3,0.42,-0.038,0.036,1.001,1,0.01,-0.07,-1.12
69,2025-10-19T15:14:43.960Z,53.8232806,17.3410353,145.3,0.53,-0.038,0.037,1.001,1,0.00,-0.05,-0.98
70,2025-10-19T15:14:44.040Z,53.8232805,17.3410350,145.3,1.19,-0.038,0.037,1.001,1,-0.01,-0.04,-0.83
71,2025-10-19T15:14:44.080Z,53.8232805,17.3410351,145.3,0.64,-0.037,0.037,1.001,1,-0.01,-0.03,-0.67
72,2025-10-19T15:14:44.120Z,53.8232805,17.3410352,145.3,0.41,-0.036,0.037,1.002,1,-0.02,-0.03,-0.51
73,2025-10-19T15:14:44.160Z,53.8232805,17.3410354,145.3,0.57,-0.034,0.036,1.002,1,-0.02,-0.02,-0.37
74,2025-10-19T15:14:44.200Z,53.8232805,17.3410355,145.3,0.67,-0.032,0.035,1.002,1,-0.01,-0.02,-0.25
75,2025-10-19T15:14:44.240Z,53.8232805,17.3410355,145.3,0.58,-0.028,0.034,1.002,1,0.00,-0.01,-0.15
76,2025-10-19T15:14:44.280Z,53.8232805,17.3410355,145.3,0.23,-0.024,0.033,1.002,1,0.00,-0.01,-0.07
77,2025-10-19T15:14:44.320Z,53.8232806,17.3410355,145.3,0.12,-0.019,0.032,1.002,1,0.00,0.00,0.00
78,2025-10-19T15:14:44.360Z,53.8232806,17.3410354,145.3,0.42,-0.013,0.031,1.002,1,0.00,0.00,0.05
79,2025-10-19T15:14:44.400Z,53.8232806,17.3410354,145.3,0.54,-0.008,0.030,1.001,1,0.00,0.00,0.09
80,2025-10-19T15:14:44.440Z,53.8232806,17.3410351,145.3,0.81,-0.005,0.029,1.001,1,0.00,0.00,0.11
81,2025-10-19T15:14:53.480Z,53.8232804,17.3410340,145.2,0.97,0.022,0.020,1.001,1,-0.11,-0.11,-1.28
82,2025-10-19T15:14:53.520Z,53.8232804,17.3410338,145.2,1.36,0.022,0.019,0.999,1,-0.09,-0.11,-1.34
83,2025-10-19T15:14:53.560Z,53.8232804,17.3410335,145.2,1.49,0.023,0.020,0.999,1,-0.09,-0.10,-1.43
84,2025-10-19T15:14:53.600Z,53.8232804,17.3410333,145.2,1.19,0.024,0.020,1.000,1,-0.13,-0.08,-1.52
85,2025-10-19T15:14:53.640Z,53.8232804,17.3410331,145.2,0.93,0.024,0.020,1.001,1,-0.17,-0.07,-1.62
86,2025-10-19T15:14:53.680Z,53.8232805,17.3410331,145.2,0.70,0.023,0.020,1.001,1,-0.21,-0.03,-1.72
87,2025-10-19T15:14:53.720Z,53.8232805,17.3410330,145.2,0.69,0.022,0.019,1.001,1,-0.24,0.00,-1.81
88,2025-10-19T15:14:53.760Z,53.8232805,17.3410326,145.2,1.52,0.021,0.018,1.000,1,-0.24,0.02,-1.90
89,2025-10-19T15:14:53.800Z,53.8232805,17.3410323,145.2,1.32,0.021,0.017,1.001,1,-0.22,0.02,-1.99
90,2025-10-19T15:14:53.840Z,53.8232804,17.3410322,145.2,1.24,0.022,0.016,1.002,1,-0.17,0.00,-2.07
91,2025-10-19T15:14:53.880Z,53.8232805,17.3410320,145.2,0.78,0.023,0.016,1.002,1,-0.12,-0.04,-2.16
92,2025-10-19T15:14:53.920Z,53.8232805,17.3410317,145.2,1.36,0.024,0.015,1.002,1,-0.09,-0.08,-2.27
93,2025-10-19T15:14:53.960Z,53.8232805,17.3410316,145.2,1.26,0.025,0.014,1.002,1,-0.07,-0.14,-2.42
94,2025-10-19T15:14:54.040Z,53.8232805,17.3410308,145.2,2.21,0.025,0.014,1.002,1,-0.06,-0.19,-2.59
95,2025-10-19T15:14:54.080Z,53.8232806,17.3410305,145.2,2.01,0.025,0.012,1.001,1,-0.06,-0.22,-2.78
96,2025-10-19T15:14:54.120Z,53.8232806,17.3410302,145.2,1.82,0.025,0.012,1.001,1,-0.07,-0.23,-2.96
97,2025-10-19T15:14:54.160Z,53.8232807,17.3410301,145.2,1.59,0.025,0.012,1.001,1,-0.09,-0.22,-3.14
98,2025-10-19T15:14:54.200Z,53.8232807,17.3410298,145.2,1.63,0.025,0.012,1.001,1,-0.11,-0.17,-3.29
99,2025-10-19T15:14:54.240Z,53.8232807,17.3410296,145.2,1.42,0.025,0.012,0.999,1,-0.14,-0.12,-3.43
100,2025-10-19T15:14:54.280Z,53.8232807,17.3410293,145.2,1.35,0.025,0.012,0.999,1,-0.19,-0.04,-3.57
101,2025-10-19T15:14:54.320Z,53.8232807,17.3410292,145.2,1.78,0.024,0.011,1.000,1,-0.23,0.01,-3.74
102,2025-10-19T15:14:54.360Z,53.8232807,17.3410287,145.2,1.92,0.023,0.010,0.999,1,-0.25,0.08,-3.90
103,2025-10-19T15:14:54.400Z,53.8232807,17.3410284,145.2,1.83,0.022,0.009,1.001,1,-0.26,0.14,-4.05
104,2025-10-19T15:14:54.440Z,53.8232808,17.3410281,145.2,1.84,0.020,0.007,1.002,1,-0.21,0.11,-4.21
105,2025-10-19T15:14:54.480Z,53.8232808,17.3410278,145.2,1.97,0.019,0.003,1.003,1,-0.10,0.03,-4.38
106,2025-10-19T15:14:54.520Z,53.8232808,17.3410274,145.2,2.00,0.018,0.001,1.004,1,0.04,-0.07,-4.54
107,2025-10-19T15:14:54.560Z,53.8232809,17.3410272,145.2,1.63,0.018,0.000,1.004,1,0.21,-0.21,-4.72
108,2025-10-19T15:14:54.600Z,53.8232810,17.3410269,145.2,1.40,0.018,0.002,1.002,1,0.33,-0.31,-4.91
109,2025-10-19T15:14:54.640Z,53.8232810,17.3410266,145.2,1.86,0.016,0.005,1.002,1,0.40,-0.35,-5.10
110,2025-10-19T15:14:54.680Z,53.8232811,17.3410260,145.2,2.61,0.013,0.009,1.003,1,0.39,-0.37,-5.26
111,2025-10-19T15:14:54.720Z,53.8232812,17.3410257,145.2,2.53,0.008,0.012,1.004,1,0.35,-0.37,-5.38
112,2025-10-19T15:14:54.760Z,53.8232812,17.3410253,145.2,2.15,0.003,0.013,1.004,1,0.32,-0.39,-5.49
113,2025-10-19T15:14:54.800Z,53.8232813,17.3410250,145.2,2.19,-0.001,0.013,1.004,1,0.32,-0.44,-5.58
114,2025-10-19T15:14:54.840Z,53.8232813,17.3410247,145.2,2.20,-0.004,0.014,1.003,1,0.33,-0.51,-5.65
115,2025-10-19T15:14:54.880Z,53.8232813,17.3410244,145.2,1.76,-0.006,0.014,1.000,1,0.35,-0.55,-5.71
116,2025-10-19T15:14:54.920Z,53.8232814,17.3410243,145.2,1.80,-0.006,0.017,0.999,1,0.33,-0.53,-5.79
117,2025-10-19T15:14:54.960Z,53.8232814,17.3410238,145.2,2.05,-0.006,0.021,0.998,1,0.21,-0.42,-5.84
118,2025-10-19T15:14:55.040Z,53.8232815,17.3410232,145.1,1.85,-0.005,0.021,0.998,1,0.01,-0.28,-5.87
119,2025-10-19T15:14:55.080Z,53.8232815,17.3410229,145.1,1.96,-0.004,0.020,0.999,1,-0.16,-0.15,-5.89
120,2025-10-19T15:14:55.120Z,53.8232816,17.3410223,145.2,2.50,-0.001,0.017,1.001,1,-0.31,-0.08,-5.91
121,2025-10-19T15:14:55.160Z,53.8232817,17.3410219,145.2,2.41,0.000,0.012,1.001,1,-0.37,-0.04,-5.94
122,2025-10-19T15:14:55.200Z,53.8232818,17.3410217,145.2,1.89,0.002,0.010,1.002,1,-0.33,-0.06,-5.99
123,2025-10-19T15:14:55.240Z,53.8232819,17.3410214,145.2,2.03,0.004,0.008,1.003,1,-0.22,-0.13,-6.05
124,2025-10-19T15:14:55.280Z,53.8232820,17.3410208,145.2,2.74,0.006,0.007,1.001,1,-0.09,-0.20,-6.14
125,2025-10-19T15:14:55.320Z,53.8232820,17.3410205,145.2,2.37,0.007,0.009,1.001,1,0.00,-0.24,-6.23
126,2025-10-19T15:14:55.360Z,53.8232820,17.3410202,145.2,2.34,0.009,0.009,1.002,1,0.03,-0.26,-6.31
127,2025-10-19T15:14:55.400Z,53.8232821,17.3410199,145.1,2.14,0.011,0.010,1.001,1,0.01,-0.26,-6.41
128,2025-10-19T15:14:55.440Z,53.8232821,17.3410196,145.1,1.89,0.011,0.010,1.003,1,-0.05,-0.20,-6.51
129,2025-10-19T15:14:55.480Z,53.8232822,17.3410192,145.1,2.13,0.010,0.011,1.005,1,-0.15,-0.13,-6.60
130,2025-10-19T15:14:55.520Z,53.8232823,17.3410189,145.2,1.87,0.008,0.012,1.002,1,-0.22,-0.07,-6.68
131,2025-10-19T15:14:55.560Z,53.8232824,17.3410184,145.2,2.06,0.006,0.012,1.001,1,-0.24,-0.01,-6.74
132,2025-10-19T15:14:55.600Z,53.8232825,17.3410180,145.2,2.30,0.005,0.011,1.001,1,-0.23,-0.01,-6.77
133,2025-10-19T15:14:55.640Z,53.8232826,17.3410176,145.2,2.75,0.005,0.010,0.999,1,-0.16,-0.04,-6.80
134,2025-10-19T15:14:55.680Z,53.8232827,17.3410170,145.2,3.19,0.006,0.008,1.001,1,-0.06,-0.07,-6.84
135,2025-10-19T15:14:55.720Z,53.8232827,17.3410168,145.2,2.42,0.006,0.006,1.003,1,0.06,-0.14,-6.89
136,2025-10-19T15:14:55.760Z,53.8232829,17.3410164,145.1,2.53,0.007,0.007,1.004,1,0.19,-0.21,-6.94
137,2025-10-19T15:14:55.800Z,53.8232830,17.3410161,145.1,2.34,0.006,0.008,1.005,1,0.28,-0.28,-7.01
138,2025-10-19T15:14:55.840Z,53.8232831,17.3410157,145.1,2.30,0.006,0.010,1.006,1,0.36,-0.34,-7.08
139,2025-10-19T15:14:55.880Z,53.8232831,17.3410155,145.1,2.01,0.005,0.012,1.004,1,0.35,-0.37,-7.14
140,2025-10-19T15:14:55.920Z,53.8232832,17.3410153,145.1,2.37,0.005,0.014,1.004,1,0.31,-0.34,-7.19
141,2025-10-19T15:14:55.960Z,53.8232834,17.3410148,145.1,2.29,0.005,0.014,1.002,1,0.16,-0.29,-7.24
142,2025-10-19T15:14:56.040Z,53.8232836,17.3410139,145.1,2.87,0.005,0.013,1.002,1,0.00,-0.19,-7.32
143,2025-10-19T15:14:56.080Z,53.8232836,17.3410135,145.1,2.87,0.006,0.010,1.001,1,-0.12,-0.09,-7.39
144,2025-10-19T15:14:56.120Z,53.8232838,17.3410132,145.1,2.82,0.006,0.007,1.003,1,-0.18,-0.02,-7.47
145,2025-10-19T15:14:56.160Z,53.8232839,17.3410129,145.1,2.59,0.005,0.005,1.002,1,-0.21,0.01,-7.56
146,2025-10-19T15:14:56.200Z,53.8232840,17.3410124,145.1,2.66,0.004,0.004,1.003,1,-0.14,0.03,-7.65
147,2025-10-19T15:14:56.240Z,53.8232841,17.3410121,145.1,2.51,0.003,0.006,1.001,1,-0.09,0.03,-7.70
148,2025-10-19T15:14:56.280Z,53.8232842,17.3410118,145.1,2.21,0.002,0.007,1.001,1,-0.04,0.03,-7.74
149,2025-10-19T15:14:56.320Z,53.8232842,17.3410115,145.1,2.33,0.003,0.008,0.999,1,-0.02,0.02,-7.78
150,2025-10-19T15:14:56.360Z,53.8232845,17.3410109,145.1,2.89,0.004,0.008,0.998,1,-0.03,0.02,-7.83
151,2025-10-19T15:14:56.400Z,53.8232846,17.3410104,145.1,2.81,0.007,0.008,0.995,1,-0.09,0.02,-7.89
152,2025-10-19T15:14:56.440Z,53.8232847,17.3410101,145.1,2.68,0.010,0.007,0.994,1,-0.15,0.07,-7.96
153,2025-10-19T15:14:56.480Z,53.8232848,17.3410096,145.1,3.12,0.013,0.007,0.996,1,-0.20,0.12,-8.03
154,2025-10-19T15:14:56.520Z,53.8232851,17.3410092,145.1,3.03,0.014,0.004,1.000,1,-0.22,0.15,-8.09
155,2025-10-19T15:14:56.560Z,53.8232851,17.3410089,145.1,2.29,0.012,0.004,1.003,1,-0.19,0.15,-8.14
156,2025-10-19T15:14:56.600Z,53.8232852,17.3410084,145.1,2.42,0.009,0.005,1.005,1,-0.17,0.12,-8.17
157,2025-10-19T15:14:56.640Z,53.8232854,17.3410080,145.1,3.29,0.005,0.007,1.006,1,-0.14,0.08,-8.21
158,2025-10-19T15:14:56.680Z,53.8232854,17.3410075,145.1,3.02,0.000,0.005,1.009,1,-0.12,0.04,-8.24
159,2025-10-19T15:14:56.720Z,53.8232857,17.3410071,145.1,2.62,-0.007,0.002,1.015,1,0.00,-0.07,-8.28
160,2025-10-19T15:14:56.760Z,53.8232858,17.3410068,145.0,2.67,-0.013,-0.002,1.016,1,0.19,-0.25,-8.34
161,2025-10-19T15:14:56.800Z,53.8232859,17.3410065,145.0,2.70,-0.018,-0.005,1.016,1,0.45,-0.45,-8.42
162,2025-10-19T15:14:56.840Z,53.8232860,17.3410062,145.0,2.53,-0.020,-0.002,1.011,1,0.66,-0.65,-8.49
163,2025-10-19T15:14:56.880Z,53.8232862,17.3410056,145.0,2.55,-0.020,0.003,1.003,1,0.77,-0.78,-8.54
164,2025-10-19T15:14:56.920Z,53.8232863,17.3410053,145.0,2.63,-0.017,0.011,0.997,1,0.71,-0.81,-8.55
165,2025-10-19T15:14:56.960Z,53.8232864,17.3410050,145.0,2.45,-0.012,0.014,0.993,1,0.53,-0.74,-8.55
166,2025-10-19T15:14:57.040Z,53.8232866,17.3410044,145.0,2.40,-0.007,0.014,0.991,1,0.31,-0.59,-8.55
167,2025-10-19T15:14:57.080Z,53.8232868,17.3410038,145.0,2.88,-0.004,0.012,0.994,1,0.14,-0.42,-8.56
168,2025-10-19T15:14:57.120Z,53.8232870,17.3410036,145.0,2.66,-0.002,0.010,0.998,1,0.02,-0.28,-8.57
169,2025-10-19T15:14:57.160Z,53.8232872,17.3410031,145.0,3.00,0.000,0.006,1.000,1,-0.04,-0.17,-8.61
170,2025-10-19T15:14:57.200Z,53.8232874,17.3410026,145.0,3.23,0.000,0.005,1.002,1,-0.04,-0.13,-8.65
171,2025-10-19T15:14:57.240Z,53.8232876,17.3410024,145.0,2.79,0.000,0.004,1.003,1,-0.02,-0.13,-8.70
172,2025-10-19T15:14:57.280Z,53.8232878,17.3410020,145.0,3.06,0.000,0.002,1.002,1,0.00,-0.15,-8.76
173,2025-10-19T15:14:57.320Z,53.8232878,17.3410015,145.0,3.11,0.000,0.002,1.002,1,0.05,-0.17,-8.81
174,2025-10-19T15:14:57.360Z,53.8232880,17.3410012,145.0,2.85,0.001,0.002,1.001,1,0.09,-0.19,-8.85
175,2025-10-19T15:14:57.400Z,53.8232881,17.3410007,145.0,2.76,0.000,0.003,1.002,1,0.11,-0.20,-8.88
176,2025-10-19T15:14:57.440Z,53.8232883,17.3410004,145.0,2.75,0.000,0.004,1.003,1,0.13,-0.23,-8.90
177,2025-10-19T15:14:57.480Z,53.8232886,17.3410001,145.0,2.88,-0.001,0.005,1.002,1,0.11,-0.27,-8.91
178,2025-10-19T15:14:57.520Z,53.8232887,17.3409996,145.0,2.80,-0.002,0.007,1.001,1,0.08,-0.31,-8.93
179,2025-10-19T15:14:57.560Z,53.8232890,17.3409990,145.0,3.38,-0.002,0.008,0.999,1,0.06,-0.32,-8.94
180,2025-10-19T15:14:57.600Z,53.8232892,17.3409987,145.0,3.16,-0.002,0.009,0.999,1,-0.01,-0.31,-8.94
181,2025-10-19T15:14:57.640Z,53.8232893,17.3409984,145.0,3.00,-0.002,0.009,1.000,1,-0.08,-0.29,-8.94
182,2025-10-19T15:14:57.680Z,53.8232894,17.3409980,145.0,2.97,-0.002,0.006,1.004,1,-0.12,-0.26,-8.95
183,2025-10-19T15:14:57.720Z,53.8232896,17.3409974,145.0,3.10,-0.002,0.003,1.007,1,-0.16,-0.28,-8.98
184,2025-10-19T15:14:57.760Z,53.8232898,17.3409971,145.0,2.94,-0.001,0.002,1.006,1,-0.17,-0.32,-9.03
185,2025-10-19T15:14:57.800Z,53.8232900,17.3409968,145.0,2.88,0.000,0.002,1.006,1,-0.21,-0.38,-9.08
186,2025-10-19T15:14:57.840Z,53.8232902,17.3409965,145.0,2.97,0.002,0.003,1.003,1,-0.27,-0.45,-9.13
187,2025-10-19T15:14:57.880Z,53.8232905,17.3409962,145.0,2.96,0.006,0.003,1.000,1,-0.38,-0.50,-9.17
188,2025-10-19T15:14:57.920Z,53.8232907,17.3409956,145.0,3.30,0.010,0.001,0.999,1,-0.48,-0.53,-9.23
189,2025-10-19T15:14:57.960Z,53.8232908,17.3409951,145.0,3.27,0.012,-0.002,1.002,1,-0.58,-0.57,-9.31
190,2025-10-19T15:14:58.040Z,53.8232913,17.3409945,145.0,3.09,0.011,-0.008,1.003,1,-0.53,-0.61,-9.42
191,2025-10-19T15:14:58.080Z,53.8232915,17.3409943,144.9,3.19,0.008,-0.014,1.004,1,-0.32,-0.55,-9.51
192,2025-10-19T15:14:58.120Z,53.8232916,17.3409939,144.9,2.86,0.003,-0.015,1.005,1,0.04,-0.47,-9.61
193,2025-10-19T15:14:58.160Z,53.8232918,17.3409936,144.9,2.73,-0.003,-0.013,1.003,1,0.45,-0.32,-9.67
194,2025-10-19T15:14:58.200Z,53.8232921,17.3409932,144.9,3.39,-0.009,-0.006,1.003,1,0.82,-0.14,-9.71
195,2025-10-19T15:14:58.240Z,53.8232923,17.3409928,144.9,3.37,-0.013,0.001,1.001,1,1.01,0.02,-9.70
196,2025-10-19T15:14:58.280Z,53.8232927,17.3409925,144.9,3.33,-0.016,0.009,0.999,1,0.98,0.13,-9.66
197,2025-10-19T15:14:58.320Z,53.8232928,17.3409922,144.9,3.25,-0.016,0.012,0.998,1,0.77,0.19,-9.62
198,2025-10-19T15:14:58.360Z,53.8232931,17.3409916,145.0,3.27,-0.016,0.014,0.999,1,0.47,0.19,-9.56
199,2025-10-19T15:14:58.400Z,53.8232933,17.3409913,145.0,3.26,-0.013,0.011,0.999,1,0.18,0.16,-9.51
200,2025-10-19T15:14:58.440Z,53.8232937,17.3409910,145.0,3.06,-0.011,0.007,1.002,1,-0.03,0.13,-9.48
201,2025-10-19T15:14:58.480Z,53.8232939,17.3409906,145.0,2.67,-0.009,0.005,1.003,1,-0.18,0.08,-9.46
202,2025-10-19T15:14:58.520Z,53.8232940,17.3409904,145.0,3.26,-0.007,0.001,1.005,1,-0.24,0.00,-9.47
203,2025-10-19T15:14:58.560Z,53.8232942,17.3409898,145.0,3.27,-0.004,-0.001,1.005,1,-0.25,-0.08,-9.50
204,2025-10-19T15:14:58.600Z,53.8232944,17.3409895,145.0,3.42,-0.002,-0.002,1.005,1,-0.21,-0.17,-9.53
205,2025-10-19T15:14:58.640Z,53.8232947,17.3409892,144.9,3.49,-0.001,-0.005,1.005,1,-0.13,-0.27,-9.56
