Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,0.000,53.8225390,17.3365575,138.5,0.55,0.013,-0.012,1.002,0,0.08,0.22,-0.10
2,0.040,53.8225389,17.3365575,138.6,1.04,0.014,-0.011,1.002,0,0.09,0.23,-0.10
3,0.080,53.8225390,17.3365576,138.6,0.32,0.015,-0.009,1.002,0,0.10,0.25,-0.10
4,0.160,53.8225390,17.3365576,138.6,0.15,0.017,-0.008,1.002,0,0.10,0.27,-0.10
5,0.200,53.8225390,17.3365577,138.6,0.10,0.017,-0.007,1.002,0,0.11,0.28,-0.10
6,0.240,53.8225390,17.3365578,138.6,0.23,0.017,-0.007,1.002,0,0.10,0.28,-0.10
7,0.280,53.8225389,17.3365578,138.6,0.59,0.017,-0.007,1.002,0,0.10,0.28,-0.10
8,0.320,53.8225389,17.3365578,138.6,0.10,0.017,-0.007,1.002,0,0.10,0.28,-0.10
9,0.360,53.8225390,17.3365578,138.6,0.40,0.017,-0.008,1.002,0,0.10,0.28,-0.10
10,0.400,53.8225390,17.3365581,138.6,0.17,0.018,-0.008,1.002,0,0.10,0.28,-0.10
11,0.440,53.8225390,17.3365583,138.6,0.08,0.018,-0.008,1.002,0,0.10,0.28,-0.10
12,0.480,53.8225390,17.3365584,138.7,0.11,0.018,-0.008,1.002,0,0.11,0.28,-0.09
13,0.520,53.8225390,17.3365584,138.6,0.22,0.018,-0.008,1.002,0,0.11,0.28,-0.09
14,0.560,53.8225390,17.3365585,138.6,0.06,0.018,-0.007,1.002,0,0.11,0.28,-0.10
15,0.600,53.8225390,17.3365586,138.7,0.14,0.018,-0.007,1.002,0,0.11,0.28,-0.10
16,0.640,53.8225390,17.3365586,138.7,0.37,0.017,-0.007,1.002,0,0.11,0.28,-0.10
17,0.680,53.8225390,17.3365589,138.7,0.33,0.017,-0.007,1.002,0,0.10,0.28,-0.10
18,0.720,53.8225391,17.3365589,138.7,0.46,0.018,-0.007,1.002,0,0.10,0.28,-0.10
19,0.760,53.8225391,17.3365589,138.7,0.32,0.018,-0.008,1.002,0,0.10,0.28,-0.10
20,0.800,53.8225389,17.3365592,138.8,0.46,0.018,-0.008,1.002,0,0.10,0.28,-0.10
21,0.840,53.8225389,17.3365592,138.8,0.77,0.019,-0.007,1.002,0,0.10,0.28,-0.10
22,0.880,53.8225389,17.3365595,138.8,0.46,0.019,-0.007,1.002,0,0.11,0.28,-0.11
23,0.920,53.8225390,17.3365595,138.8,0.28,0.018,-0.008,1.002,0,0.11,0.28,-0.10
24,0.960,53.8225390,17.3365598,138.8,0.43,0.018,-0.007,1.002,0,0.10,0.28,-0.10
25,1.000,53.8225390,17.3365598,138.8,0.17,0.018,-0.007,1.002,0,0.10,0.28,-0.10
26,1.040,53.8225390,17.3365598,138.8,0.25,0.018,-0.007,1.002,0,0.10,0.28,-0.11
27,1.080,53.8225390,17.3365601,138.9,0.27,0.018,-0.007,1.002,0,0.10,0.28,-0.11
28,1.160,53.8225389,17.3365601,138.9,0.23,0.019,-0.007,1.002,0,0.10,0.28,-0.11
29,1.200,53.8225389,17.3365604,138.9,0.21,0.019,-0.007,1.002,0,0.10,0.28,-0.11
30,1.240,53.8225390,17.3365604,138.9,0.27,0.018,-0.007,1.002,0,0.10,0.28,-0.12
31,1.280,53.8225391,17.3365607,138.9,0.43,0.019,-0.007,1.002,0,0.10,0.28,-0.11
32,1.320,53.8225390,17.3365610,138.9,0.12,0.018,-0.007,1.002,0,0.11,0.28,-0.11
33,1.360,53.8225390,17.3365610,138.9,0.18,0.018,-0.007,1.002,0,0.11,0.28,-0.10
34,1.400,53.8225389,17.3365613,139.0,0.12,0.018,-0.007,1.002,0,0.11,0.28,-0.10
