Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,2025-10-25T17:36:21.320,53.8225604,17.3366376,153.3,0.09,0.015,-0.005,1.003,0,0.11,0.30,-0.09
2,2025-10-25T17:36:21.360,53.8225604,17.3366376,153.3,1.13,0.015,-0.004,1.003,0,0.12,0.31,-0.09
3,2025-10-25T17:36:21.400,53.8225602,17.3366377,153.2,1.27,0.014,-0.004,1.003,0,0.12,0.33,-0.10
4,2025-10-25T17:36:21.440,53.8225601,17.3366377,153.1,1.35,0.014,-0.003,1.003,0,0.13,0.34,-0.11
5,2025-10-25T17:36:21.480,53.8225601,17.3366377,153.1,1.27,0.014,-0.003,1.003,0,0.13,0.36,-0.11
6,2025-10-25T17:36:21.520,53.8225599,17.3366378,153.0,1.41,0.015,-0.002,1.003,0,0.13,0.35,-0.11
7,2025-10-25T17:36:21.560,53.8225597,17.3366380,152.9,1.45,0.015,-0.003,1.003,0,0.13,0.36,-0.11
8,2025-10-25T17:36:21.600,53.8225596,17.3366381,152.9,1.45,0.015,-0.003,1.003,0,0.13,0.36,-0.10
9,2025-10-25T17:36:21.640,53.8225589,17.3366389,152.8,0.32,0.014,-0.003,1.003,0,0.13,0.36,-0.10
10,2025-10-25T17:36:21.680,53.8225593,17.3366384,152.7,1.23,0.014,-0.003,1.003,0,0.13,0.35,-0.11
11,2025-10-25T17:36:21.720,53.8225589,17.3366386,152.7,0.23,0.014,-0.003,1.003,0,0.13,0.35,-0.11
12,2025-10-25T17:36:21.760,53.8225585,17.3366387,152.6,0.34,0.014,-0.004,1.003,0,0.12,0.35,-0.11
13,2025-10-25T17:36:21.800,53.8225584,17.3366387,152.6,0.15,0.014,-0.004,1.002,0,0.12,0.35,-0.11
14,2025-10-25T17:36:21.840,53.8225583,17.3366390,152.6,0.23,0.014,-0.004,1.002,0,0.12,0.35,-0.11
15,2025-10-25T17:36:21.880,53.8225584,17.3366390,152.6,0.42,0.014,-0.004,1.003,0,0.12,0.35,-0.11
16,2025-10-25T17:36:21.960,53.8225582,17.3366393,152.6,0.58,0.014,-0.004,1.003,0,0.12,0.35,-0.11
17,2025-10-25T17:36:22.040,53.8225577,17.3366393,152.6,0.10,0.013,-0.004,1.003,0,0.13,0.35,-0.11
18,2025-10-25T17:36:22.080,53.8225576,17.3366395,152.6,0.17,0.013,-0.004,1.003,0,0.13,0.35,-0.11
19,2025-10-25T17:36:22.120,53.8225575,17.3366396,152.6,0.31,0.014,-0.004,1.003,0,0.14,0.34,-0.12
20,2025-10-25T17:36:22.160,53.8225571,17.3366399,152.6,0.13,0.014,-0.004,1.002,0,0.14,0.34,-0.12
21,2025-10-25T17:36:22.200,53.8225570,17.3366402,152.5,0.12,0.013,-0.004,1.002,0,0.14,0.34,-0.12
