Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,2025-10-19T15:37:00.960,53.8233157,17.3410875,143.1,0.08,-0.003,0.015,1.000,0,-0.02,-0.08,0.00
2,2025-10-19T15:37:01.040,53.8233157,17.3410875,143.1,0.25,-0.003,0.013,1.000,0,-0.02,-0.08,0.00
3,2025-10-19T15:37:01.080,53.8233156,17.3410876,143.1,0.50,-0.004,0.013,0.999,0,-0.01,-0.07,0.00
4,2025-10-19T15:37:01.120,53.8233156,17.3410876,143.1,0.25,-0.004,0.012,0.999,0,-0.01,-0.06,0.00
5,2025-10-19T15:37:01.160,53.8233156,17.3410875,143.0,0.27,-0.005,0.011,0.999,0,0.00,-0.06,0.00
6,2025-10-19T15:37:01.200,53.8233155,17.3410874,143.0,0.29,-0.005,0.011,0.999,0,0.00,-0.06,0.00
7,2025-10-19T15:37:01.240,53.8233155,17.3410875,143.0,0.20,-0.005,0.011,0.999,0,-0.01,-0.06,0.00
8,2025-10-19T15:37:01.280,53.8233155,17.3410874,143.0,0.35,-0.005,0.011,0.999,0,-0.01,-0.06,0.00
9,2025-10-19T15:37:01.320,53.8233154,17.3410874,143.0,0.14,-0.005,0.011,0.999,0,-0.01,-0.06,0.00
10,2025-10-19T15:37:01.360,53.8233154,17.3410873,143.0,0.06,-0.005,0.011,0.999,0,-0.01,-0.06,0.00
11,2025-10-19T15:37:01.400,53.8233154,17.3410873,143.0,0.32,-0.005,0.011,0.999,0,-0.01,-0.06,0.00
12,2025-10-19T15:37:01.440,53.8233153,17.3410873,143.0,0.35,-0.005,0.011,0.999,0,-0.01,-0.06,0.00
13,2025-10-19T15:37:01.480,53.8233153,17.3410873,143.0,0.18,-0.005,0.012,0.999,0,-0.01,-0.06,0.00
14,2025-10-19T15:37:01.520,53.8233153,17.3410873,143.0,0.39,-0.005,0.012,0.999,0,-0.02,-0.06,0.00
15,2025-10-19T15:37:01.560,53.8233153,17.3410872,143.0,0.26,-0.005,0.012,0.999,0,-0.02,-0.06,0.00
16,2025-10-19T15:37:01.600,53.8233153,17.3410872,143.0,0.08,-0.005,0.011,0.999,0,-0.02,-0.06,0.00
17,2025-10-19T15:37:01.640,53.8233152,17.3410873,142.9,0.23,-0.005,0.011,0.999,0,-0.02,-0.06,0.00
18,2025-10-19T15:37:01.680,53.8233151,17.3410872,142.9,0.39,-0.005,0.011,0.999,0,-0.02,-0.05,0.00
19,2025-10-19T15:37:01.720,53.8233152,17.3410871,142.9,0.39,-0.005,0.011,0.999,0,-0.02,-0.05,0.00
