Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,2025-10-19T12:33:07.400Z,53.8233422,17.3410936,141.2,0.03,0.010,0.009,1.000,0,0.00,-0.05,0.04
2,2025-10-19T12:33:07.440Z,53.8233422,17.3410935,141.2,0.33,0.009,0.009,1.000,0,0.00,-0.04,0.03
3,2025-10-19T12:33:07.480Z,53.8233421,17.3410934,141.2,0.37,0.008,0.009,1.000,0,-0.01,-0.04,0.03
4,2025-10-19T12:33:07.520Z,53.8233422,17.3410935,141.2,0.45,0.008,0.009,1.000,0,0.00,-0.03,0.02
5,2025-10-19T12:33:07.560Z,53.8233421,17.3410935,141.2,0.19,0.007,0.009,1.000,0,0.00,-0.03,0.02
6,2025-10-19T12:33:07.600Z,53.8233421,17.3410935,141.2,0.06,0.008,0.008,1.000,0,0.00,-0.03,0.02
7,2025-10-19T12:33:07.640Z,53.8233421,17.3410936,141.2,0.36,0.008,0.008,1.000,0,0.00,-0.04,0.02
8,2025-10-19T12:33:07.680Z,53.8233421,17.3410936,141.2,0.33,0.008,0.008,1.000,0,0.00,-0.04,0.02
9,2025-10-19T12:33:07.720Z,53.8233421,17.3410936,141.2,0.12,0.008,0.008,1.000,0,0.00,-0.05,0.01
10,2025-10-19T12:33:07.760Z,53.8233421,17.3410935,141.2,0.34,0.008,0.008,1.000,0,-0.01,-0.05,0.01
11,2025-10-19T12:33:07.800Z,53.8233422,17.3410934,141.2,0.54,0.007,0.008,1.000,0,-0.01,-0.06,0.01
12,2025-10-19T12:33:07.840Z,53.8233422,17.3410934,141.2,0.36,0.008,0.008,1.000,0,-0.02,-0.06,0.02
13,2025-10-19T12:33:07.880Z,53.8233421,17.3410934,141.2,0.20,0.008,0.008,1.000,0,-0.02,-0.06,0.02
14,2025-10-19T12:33:07.920Z,53.8233421,17.3410934,141.2,0.32,0.008,0.008,1.000,0,-0.02,-0.06,0.02
15,2025-10-19T12:33:07.960Z,53.8233421,17.3410935,141.2,0.33,0.008,0.009,1.000,0,-0.02,-0.05,0.02
