Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Run,GyroX,GyroY,GyroZ
1,2025-10-19T15:09:10.640Z,53.8233414,17.3411020,143.8,0.98,0.067,-0.008,1.001,1,0.00,-0.04,-0.90
2,2025-10-19T15:09:10.680Z,53.8233414,17.3411022,143.8,1.15,0.075,-0.009,1.000,1,-0.01,-0.04,-1.03
3,2025-10-19T15:09:10.720Z,53.8233415,17.3411024,143.8,1.44,0.081,-0.009,0.998,1,-0.03,-0.03,-1.18
4,2025-10-19T15:09:10.760Z,53.8233418,17.3411025,143.8,1.58,0.084,-0.010,0.998,1,-0.06,-0.01,-1.35
5,2025-10-19T15:09:10.800Z,53.8233419,17.3411028,143.8,1.67,0.085,-0.011,0.998,1,-0.10,0.01,-1.56
6,2025-10-19T15:09:10.840Z,53.8233419,17.3411030,143.8,1.74,0.086,-0.014,0.998,1,-0.15,0.04,-1.79
7,2025-10-19T15:09:10.880Z,53.8233421,17.3411033,143.8,1.80,0.083,-0.014,0.998,1,-0.19,0.07,-2.03
8,2025-10-19T15:09:10.920Z,53.8233423,17.3411036,143.8,2.25,0.081,-0.015,1.000,1,-0.22,0.10,-2.27
9,2025-10-19T15:09:10.960Z,53.8233424,17.3411040,143.9,2.20,0.080,-0.016,0.999,1,-0.24,0.07,-2.55
10,2025-10-19T15:09:11.040Z,53.8233427,17.3411046,143.9,2.13,0.084,-0.016,0.999,1,-0.27,0.00,-2.85
11,2025-10-19T15:09:11.080Z,53.8233428,17.3411049,143.9,2.48,0.086,-0.018,0.999,1,-0.28,-0.05,-3.17
12,2025-10-19T15:09:11.120Z,53.8233429,17.3411052,143.9,2.46,0.091,-0.022,1.001,1,-0.28,-0.08,-3.50
13,2025-10-19T15:09:11.160Z,53.8233431,17.3411058,143.9,2.88,0.090,-0.026,1.002,1,-0.23,-0.08,-3.83
14,2025-10-19T15:09:11.200Z,53.8233431,17.3411061,143.9,2.92,0.088,-0.030,1.003,1,-0.14,-0.03,-4.14
15,2025-10-19T15:09:11.240Z,53.8233434,17.3411066,143.9,2.98,0.083,-0.033,1.003,1,0.00,0.00,-4.44
16,2025-10-19T15:09:11.280Z,53.8233436,17.3411070,143.9,2.99,0.082,-0.033,1.002,1,0.14,0.00,-4.72
17,2025-10-19T15:09:11.320Z,53.8233439,17.3411075,143.9,3.31,0.082,-0.032,1.002,1,0.25,-0.02,-5.00
18,2025-10-19T15:09:11.360Z,53.8233440,17.3411079,143.9,3.25,0.085,-0.031,1.000,1,0.30,-0.08,-5.30
19,2025-10-19T15:09:11.400Z,53.8233442,17.3411085,143.9,3.46,0.087,-0.030,1.000,1,0.28,-0.12,-5.62
20,2025-10-19T15:09:11.440Z,53.8233444,17.3411090,143.9,3.52,0.088,-0.031,1.002,1,0.21,-0.12,-5.96
21,2025-10-19T15:09:11.480Z,53.8233446,17.3411095,143.9,3.71,0.088,-0.033,1.004,1,0.10,-0.12,-6.31
22,2025-10-19T15:09:11.520Z,53.8233448,17.3411101,143.9,3.93,0.086,-0.036,1.002,1,0.01,-0.14,-6.69
23,2025-10-19T15:09:11.560Z,53.8233451,17.3411107,143.9,4.30,0.088,-0.039,1.002,1,-0.09,-0.15,-7.10
24,2025-10-19T15:09:11.600Z,53.8233454,17.3411113,143.9,4.22,0.086,-0.042,1.002,1,-0.19,-0.17,-7.53
25,2025-10-19T15:09:11.640Z,53.8233455,17.3411119,143.9,4.10,0.087,-0.045,1.001,1,-0.28,-0.22,-7.98
26,2025-10-19T15:09:11.680Z,53.8233458,17.3411127,143.9,4.44,0.086,-0.049,1.001,1,-0.35,-0.25,-8.46
27,2025-10-19T15:09:11.720Z,53.8233460,17.3411133,143.9,4.68,0.087,-0.052,1.002,1,-0.43,-0.28,-8.95
28,2025-10-19T15:09:11.760Z,53.8233462,17.3411140,143.9,4.99,0.088,-0.055,0.999,1,-0.49,-0.29,-9.43
29,2025-10-19T15:09:11.800Z,53.8233465,17.3411148,143.9,5.26,0.088,-0.057,0.997,1,-0.51,-0.26,-9.90
30,2025-10-19T15:09:11.840Z,53.8233468,17.3411155,143.9,5.09,0.086,-0.060,1.002,1,-0.47,-0.30,-10.37
31,2025-10-19T15:09:11.880Z,53.8233471,17.3411164,143.9,5.25,0.087,-0.063,1.007,1,-0.36,-0.40,-10.80
32,2025-10-19T15:09:11.920Z,53.8233473,17.3411171,143.9,5.37,0.084,-0.065,1.009,1,-0.14,-0.55,-11.21
33,2025-10-19T15:09:11.960Z,53.8233475,17.3411179,143.9,5.40,0.083,-0.065,1.009,1,0.10,-0.71,-11.68
34,2025-10-19T15:09:12.040Z,53.8233481,17.3411195,143.9,5.60,0.082,-0.065,1.008,1,0.20,-0.82,-12.20
35,2025-10-19T15:09:12.080Z,53.8233483,17.3411204,143.9,5.36,0.083,-0.066,1.003,1,0.18,-0.89,-12.74
36,2025-10-19T15:09:12.120Z,53.8233484,17.3411213,143.9,5.48,0.082,-0.066,0.997,1,0.13,-0.90,-13.27
37,2025-10-19T15:09:12.160Z,53.8233486,17.3411222,143.9,5.64,0.085,-0.069,0.995,1,0.04,-0.85,-13.78
38,2025-10-19T15:09:12.200Z,53.8233488,17.3411231,143.9,6.00,0.083,-0.072,0.996,1,-0.01,-0.79,-14.20
39,2025-10-19T15:09:12.240Z,53.8233491,17.3411242,143.9,6.22,0.078,-0.077,0.996,1,0.05,-0.72,-14.56
40,2025-10-19T15:09:12.280Z,53.8233492,17.3411253,143.9,6.92,0.064,-0.077,0.995,1,0.20,-0.60,-14.95
41,2025-10-19T15:09:12.320Z,53.8233496,17.3411262,143.9,6.36,0.045,-0.072,0.996,1,0.30,-0.50,-15.30
42,2025-10-19T15:09:12.360Z,53.8233498,17.3411273,143.9,6.58,0.021,-0.064,0.993,1,0.32,-0.41,-15.55
43,2025-10-19T15:09:12.400Z,53.8233500,17.3411283,143.9,6.50,-0.004,-0.055,0.995,1,0.28,-0.31,-15.73
44,2025-10-19T15:09:12.440Z,53.8233501,17.3411292,143.9,6.02,-0.021,-0.046,0.999,1,0.21,-0.28,-15.71
45,2025-10-19T15:09:12.480Z,53.8233503,17.3411301,143.9,5.68,-0.035,-0.042,0.999,1,0.13,-0.29,-15.59
46,2025-10-19T15:09:12.520Z,53.8233504,17.3411312,143.9,6.07,-0.044,-0.039,1.000,1,0.06,-0.31,-15.45
47,2025-10-19T15:09:12.560Z,53.8233507,17.3411322,143.9,6.39,-0.048,-0.038,1.004,1,0.03,-0.38,-15.29
48,2025-10-19T15:09:12.600Z,53.8233507,17.3411332,143.9,6.03,-0.048,-0.040,1.007,1,0.05,-0.43,-15.11
49,2025-10-19T15:09:12.640Z,53.8233508,17.3411341,143.9,5.91,-0.050,-0.041,1.011,1,0.09,-0.40,-15.01
50,2025-10-19T15:09:12.680Z,53.8233509,17.3411353,143.9,6.15,-0.049,-0.041,1.011,1,0.13,-0.34,-14.93
51,2025-10-19T15:09:12.720Z,53.8233509,17.3411362,143.9,5.94,-0.050,-0.040,1.009,1,0.13,-0.29,-14.83
52,2025-10-19T15:09:12.760Z,53.8233510,17.3411370,143.9,6.09,-0.051,-0.037,1.007,1,0.10,-0.28,-14.74
53,2025-10-19T15:09:12.800Z,53.8233511,17.3411380,143.9,5.75,-0.052,-0.033,1.003,1,0.03,-0.28,-14.62
54,2025-10-19T15:09:12.840Z,53.8233513,17.3411391,143.9,5.75,-0.053,-0.029,1.000,1,-0.07,-0.26,-14.47
55,2025-10-19T15:09:12.880Z,53.8233515,17.3411399,143.9,5.80,-0.053,-0.026,0.999,1,-0.20,-0.19,-14.29
56,2025-10-19T15:09:12.920Z,53.8233515,17.3411408,143.9,5.77,-0.055,-0.027,0.998,1,-0.27,-0.04,-14.07
57,2025-10-19T15:09:12.960Z,53.8233516,17.3411419,143.9,5.82,-0.062,-0.029,1.001,1,-0.18,0.08,-13.82
58,2025-10-19T15:09:13.040Z,53.8233518,17.3411437,143.9,5.66,-0.071,-0.029,1.004,1,0.01,0.13,-13.51
59,2025-10-19T15:09:13.080Z,53.8233518,17.3411447,143.9,5.49,-0.079,-0.024,1.004,1,0.23,0.11,-13.19
60,2025-10-19T15:09:13.120Z,53.8233520,17.3411455,143.9,5.03,-0.088,-0.016,1.002,1,0.41,0.03,-12.83
61,2025-10-19T15:09:13.160Z,53.8233521,17.3411462,143.9,4.93,-0.093,-0.007,1.000,1,0.51,-0.07,-12.41
62,2025-10-19T15:09:13.200Z,53.8233522,17.3411471,143.9,4.88,-0.091,0.003,0.996,1,0.44,-0.11,-11.96
63,2025-10-19T15:09:13.240Z,53.8233522,17.3411478,143.9,4.48,-0.090,0.013,0.993,1,0.31,-0.06,-11.44
64,2025-10-19T15:09:13.280Z,53.8233523,17.3411485,143.9,4.51,-0.088,0.020,0.994,1,0.15,0.01,-10.85
65,2025-10-19T15:09:13.320Z,53.8233524,17.3411493,143.9,4.46,-0.086,0.028,0.999,1,0.04,0.09,-10.12
66,2025-10-19T15:09:13.360Z,53.8233525,17.3411500,143.9,4.41,-0.086,0.032,1.003,1,-0.01,0.15,-9.34
67,2025-10-19T15:09:13.400Z,53.8233526,17.3411506,143.9,3.96,-0.088,0.033,1.006,1,0.01,0.18,-8.52
68,2025-10-19T15:09:13.440Z,53.8233527,17.3411512,143.9,3.83,-0.088,0.034,1.008,1,0.07,0.16,-7.70
69,2025-10-19T15:09:13.480Z,53.8233527,17.3411519,143.9,3.92,-0.088,0.032,1.005,1,0.19,0.15,-6.86
70,2025-10-19T15:09:13.520Z,53.8233528,17.3411524,143.9,3.67,-0.088,0.028,1.004,1,0.30,0.14,-6.11
71,2025-10-19T15:09:13.560Z,53.8233528,17.3411531,143.9,3.67,-0.085,0.025,1.004,1,0.42,0.13,-5.45
72,2025-10-19T15:09:13.600Z,53.8233529,17.3411536,143.9,3.70,-0.080,0.022,1.003,1,0.47,0.09,-4.85
73,2025-10-19T15:09:13.640Z,53.8233528,17.3411542,143.9,3.68,-0.073,0.020,1.002,1,0.46,0.06,-4.33
74,2025-10-19T15:09:13.680Z,53.8233529,17.3411548,143.9,3.36,-0.064,0.020,1.004,1,0.41,0.00,-3.90
75,2025-10-19T15:09:13.720Z,53.8233529,17.3411553,143.9,3.21,-0.055,0.020,1.002,1,0.31,-0.05,-3.51
76,2025-10-19T15:09:13.760Z,53.8233529,17.3411557,143.9,3.32,-0.046,0.020,1.001,1,0.22,-0.06,-3.16
77,2025-10-19T15:09:13.800Z,53.8233529,17.3411564,143.9,3.54,-0.040,0.020,1.001,1,0.12,-0.02,-2.84
78,2025-10-19T15:09:13.840Z,53.8233529,17.3411569,143.9,3.44,-0.035,0.020,1.000,1,0.03,0.02,-2.52
79,2025-10-19T15:09:13.880Z,53.8233531,17.3411574,143.9,2.88,-0.032,0.019,0.998,1,-0.04,0.10,-2.21
80,2025-10-19T15:09:13.920Z,53.8233531,17.3411578,143.8,2.90,-0.032,0.019,1.001,1,-0.11,0.19,-1.90
81,2025-10-19T15:09:13.960Z,53.8233532,17.3411582,143.8,2.96,-0.033,0.018,1.002,1,-0.16,0.25,-1.54
82,2025-10-19T15:09:14.040Z,53.8233534,17.3411593,143.8,3.32,-0.034,0.015,1.002,1,-0.19,0.29,-1.17
83,2025-10-19T15:09:14.080Z,53.8233534,17.3411597,143.8,2.97,-0.035,0.012,1.001,1,-0.17,0.33,-0.82
84,2025-10-19T15:09:14.120Z,53.8233535,17.3411602,143.8,2.92,-0.036,0.009,1.002,1,-0.15,0.36,-0.51
85,2025-10-19T15:09:14.160Z,53.8233535,17.3411608,143.8,3.02,-0.037,0.006,1.001,1,-0.10,0.38,-0.25
86,2025-10-19T15:09:14.200Z,53.8233537,17.3411611,143.8,2.51,-0.037,0.004,1.003,1,-0.06,0.39,-0.05
87,2025-10-19T15:09:14.240Z,53.8233536,17.3411614,143.8,2.33,-0.036,0.001,1.002,1,0.00,0.39,0.08
88,2025-10-19T15:09:14.280Z,53.8233537,17.3411617,143.8,2.33,-0.036,0.000,1.004,1,0.03,0.40,0.19
89,2025-10-19T15:09:14.320Z,53.8233539,17.3411619,143.8,2.36,-0.035,0.000,1.005,1,0.07,0.36,0.27
90,2025-10-19T15:09:14.360Z,53.8233539,17.3411626,143.8,2.54,-0.036,-0.001,1.005,1,0.11,0.33,0.32
91,2025-10-19T15:09:14.400Z,53.8233539,17.3411630,143.8,2.49,-0.038,-0.001,1.006,1,0.09,0.28,0.34
92,2025-10-19T15:09:14.440Z,53.8233540,17.3411634,143.8,2.62,-0.040,0.000,1.007,1,0.05,0.21,0.33
93,2025-10-19T15:09:14.480Z,53.8233540,17.3411639,143.8,2.57,-0.041,0.000,1.006,1,0.00,0.15,0.32
94,2025-10-19T15:09:14.520Z,53.8233541,17.3411643,143.8,2.36,-0.043,0.000,1.004,1,-0.08,0.11,0.32
95,2025-10-19T15:09:14.560Z,53.8233542,17.3411647,143.8,2.44,-0.045,-0.001,1.004,1,-0.10,0.07,0.32
96,2025-10-19T15:09:14.600Z,53.8233544,17.3411650,143.8,2.37,-0.044,-0.002,1.000,1,-0.11,0.04,0.33
97,2025-10-19T15:09:14.640Z,53.8233544,17.3411654,143.8,1.93,-0.043,-0.003,1.001,1,-0.09,0.05,0.33
98,2025-10-19T15:09:14.680Z,53.8233544,17.3411656,143.8,2.19,-0.042,-0.003,1.000,1,-0.05,0.05,0.32
99,2025-10-19T15:09:14.720Z,53.8233545,17.3411659,143.8,2.13,-0.041,-0.002,0.999,1,-0.03,0.07,0.31
100,2025-10-19T15:09:14.760Z,53.8233544,17.3411662,143.8,1.94,-0.040,-0.002,1.000,1,-0.06,0.11,0.30
101,2025-10-19T15:09:14.800Z,53.8233545,17.3411665,143.8,1.70,-0.040,-0.002,1.002,1,-0.08,0.11,0.29
102,2025-10-19T15:09:14.840Z,53.8233545,17.3411669,143.8,1.84,-0.040,-0.002,1.001,1,-0.12,0.11,0.28
103,2025-10-19T15:09:14.880Z,53.8233544,17.3411672,143.8,1.95,-0.040,-0.002,1.001,1,-0.17,0.13,0.29
104,2025-10-19T15:09:14.920Z,53.8233545,17.3411674,143.8,1.53,-0.040,-0.003,1.003,1,-0.18,0.12,0.28
105,2025-10-19T15:09:14.960Z,53.8233546,17.3411676,143.8,1.72,-0.039,-0.003,1.002,1,-0.16,0.10,0.26
106,2025-10-19T15:09:15.040Z,53.8233546,17.3411681,143.8,1.38,-0.040,-0.004,1.004,1,-0.12,0.07,0.26
107,2025-10-19T15:09:15.080Z,53.8233547,17.3411683,143.8,1.53,-0.040,-0.005,1.003,1,-0.08,0.04,0.24
108,2025-10-19T15:09:15.120Z,53.8233547,17.3411686,143.8,1.50,-0.040,-0.007,1.002,1,-0.07,0.04,0.19
109,2025-10-19T15:09:15.160Z,53.8233547,17.3411689,143.7,1.72,-0.041,-0.008,1.002,1,-0.05,0.04,0.13
110,2025-10-19T15:09:15.200Z,53.8233547,17.3411692,143.7,1.70,-0.041,-0.009,1.003,1,-0.04,0.03,0.05
111,2025-10-19T15:09:15.240Z,53.8233548,17.3411695,143.7,1.36,-0.041,-0.008,1.002,1,-0.04,0.03,-0.03
112,2025-10-19T15:09:15.280Z,53.8233548,17.3411696,143.7,1.14,-0.042,-0.008,1.002,1,-0.03,0.02,-0.11
113,2025-10-19T15:09:15.320Z,53.8233547,17.3411696,143.7,0.97,-0.042,-0.007,1.000,1,-0.02,0.00,-0.18
