Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,0.000,53.8224876,17.3366159,139.3,0.72,0.015,-0.005,1.003,0,0.12,0.30,-0.09
2,0.040,53.8224881,17.3366160,139.4,0.65,0.014,-0.005,1.003,0,0.13,0.32,-0.10
3,0.120,53.8224885,17.3366159,139.6,0.44,0.014,-0.005,1.003,0,0.14,0.35,-0.11
4,0.200,53.8224890,17.3366158,139.7,0.46,0.014,-0.006,1.002,0,0.14,0.36,-0.12
5,0.240,53.8224898,17.3366158,139.9,0.49,0.014,-0.006,1.002,0,0.15,0.38,-0.12
6,0.280,53.8224903,17.3366155,140.0,0.36,0.014,-0.005,1.002,0,0.14,0.38,-0.12
7,0.320,53.8224908,17.3366155,140.2,0.24,0.015,-0.005,1.002,0,0.14,0.38,-0.12
8,0.360,53.8224910,17.3366157,140.3,0.41,0.015,-0.005,1.002,0,0.14,0.37,-0.12
9,0.400,53.8224915,17.3366157,140.4,0.39,0.015,-0.005,1.002,0,0.14,0.38,-0.12
10,0.440,53.8224918,17.3366157,140.5,0.33,0.014,-0.006,1.002,0,0.15,0.38,-0.12
11,0.480,53.8224921,17.3366156,140.6,0.62,0.014,-0.006,1.002,0,0.15,0.38,-0.12
12,0.520,53.8224925,17.3366154,140.7,0.14,0.014,-0.006,1.002,0,0.16,0.38,-0.12
13,0.560,53.8224930,17.3366154,140.8,0.52,0.014,-0.006,1.002,0,0.16,0.38,-0.11
14,0.600,53.8224935,17.3366153,140.9,0.76,0.014,-0.005,1.002,0,0.16,0.38,-0.11
15,0.640,53.8224937,17.3366153,140.9,0.17,0.014,-0.006,1.002,0,0.15,0.38,-0.10
16,0.680,53.8224941,17.3366149,141.0,0.03,0.015,-0.005,1.002,0,0.15,0.38,-0.11
17,0.720,53.8224943,17.3366148,141.2,0.32,0.015,-0.006,1.002,0,0.15,0.38,-0.11
18,0.760,53.8224946,17.3366146,141.2,0.11,0.015,-0.006,1.002,0,0.15,0.38,-0.12
19,0.800,53.8224950,17.3366141,141.3,0.30,0.015,-0.006,1.002,0,0.15,0.38,-0.12
20,0.880,53.8224951,17.3366139,141.3,1.36,0.014,-0.006,1.002,0,0.15,0.38,-0.12
21,0.920,53.8224958,17.3366138,141.4,0.53,0.015,-0.006,1.002,0,0.15,0.38,-0.12
22,0.960,53.8224966,17.3366140,141.6,0.22,0.015,-0.006,1.002,0,0.15,0.38,-0.12
23,1.000,53.8224970,17.3366142,141.7,0.10,0.015,-0.006,1.002,0,0.15,0.38,-0.12
24,1.040,53.8224975,17.3366147,141.9,0.14,0.015,-0.006,1.002,0,0.15,0.38,-0.13
25,1.080,53.8224978,17.3366147,142.0,0.59,0.015,-0.006,1.002,0,0.15,0.38,-0.13
26,1.120,53.8224981,17.3366147,142.1,0.55,0.014,-0.006,1.002,0,0.15,0.38,-0.13
27,1.160,53.8224986,17.3366146,142.2,0.28,0.014,-0.006,1.002,0,0.14,0.38,-0.13
28,1.200,53.8224990,17.3366144,142.3,0.08,0.014,-0.006,1.002,0,0.14,0.39,-0.13
29,1.240,53.8224994,17.3366143,142.4,0.37,0.014,-0.006,1.002,0,0.14,0.39,-0.13
30,1.280,53.8224998,17.3366142,142.4,0.33,0.014,-0.006,1.002,0,0.14,0.39,-0.12
31,1.320,53.8225000,17.3366142,142.5,0.08,0.014,-0.006,1.002,0,0.14,0.38,-0.12
32,1.360,53.8225004,17.3366142,142.6,0.12,0.014,-0.006,1.002,0,0.14,0.38,-0.11
33,1.400,53.8225006,17.3366141,142.7,0.09,0.014,-0.006,1.002,0,0.14,0.38,-0.11
34,1.440,53.8225009,17.3366140,142.7,0.24,0.015,-0.006,1.002,0,0.15,0.38,-0.12
35,1.480,53.8225010,17.3366138,142.8,0.48,0.015,-0.005,1.002,0,0.15,0.38,-0.12
36,1.520,53.8225014,17.3366136,142.8,0.24,0.015,-0.005,1.002,0,0.15,0.39,-0.12
37,1.560,53.8225016,17.3366134,142.8,0.12,0.015,-0.005,1.002,0,0.15,0.40,-0.12
38,1.600,53.8225017,17.3366132,142.9,0.36,0.015,-0.005,1.002,0,0.15,0.40,-0.11
39,1.640,53.8225021,17.3366131,142.9,0.23,0.014,-0.005,1.003,0,0.15,0.41,-0.10
40,1.680,53.8225023,17.3366129,142.9,0.15,0.013,-0.006,1.003,0,0.15,0.40,-0.10
41,1.720,53.8225025,17.3366128,142.9,0.17,0.013,-0.005,1.003,0,0.15,0.40,-0.10
42,1.760,53.8225028,17.3366127,142.9,0.18,0.014,-0.006,1.003,0,0.15,0.38,-0.09
43,1.800,53.8225029,17.3366127,143.0,0.11,0.015,-0.006,1.003,0,0.15,0.37,-0.10
44,1.880,53.8225029,17.3366131,143.0,0.37,0.015,-0.006,1.003,0,0.14,0.37,-0.10
45,1.920,53.8225029,17.3366133,143.0,0.43,0.015,-0.005,1.002,0,0.15,0.37,-0.11
46,1.960,53.8225033,17.3366132,143.0,0.21,0.014,-0.005,1.002,0,0.15,0.37,-0.11
47,2.000,53.8225034,17.3366133,143.0,0.05,0.014,-0.005,1.002,0,0.15,0.37,-0.12
48,2.040,53.8225035,17.3366135,143.1,0.13,0.013,-0.005,1.002,0,0.15,0.37,-0.12
49,2.080,53.8225036,17.3366136,143.1,0.17,0.014,-0.005,1.002,0,0.15,0.38,-0.12
50,2.160,53.8225035,17.3366140,143.1,0.91,0.014,-0.006,1.002,0,0.15,0.38,-0.12
51,2.200,53.8225035,17.3366140,143.1,0.49,0.015,-0.006,1.002,0,0.15,0.38,-0.12
52,2.240,53.8225036,17.3366140,143.1,0.37,0.015,-0.006,1.002,0,0.15,0.38,-0.13
53,2.280,53.8225037,17.3366139,143.1,0.13,0.015,-0.006,1.002,0,0.15,0.38,-0.13
54,2.320,53.8225040,17.3366138,143.1,0.27,0.014,-0.006,1.002,0,0.15,0.38,-0.13
55,2.360,53.8225040,17.3366140,143.2,0.36,0.014,-0.006,1.002,0,0.15,0.38,-0.13
56,2.400,53.8225040,17.3366142,143.2,0.65,0.014,-0.005,1.002,0,0.15,0.38,-0.13
57,2.440,53.8225040,17.3366144,143.2,0.58,0.014,-0.005,1.002,0,0.14,0.37,-0.12
58,2.480,53.8225041,17.3366144,143.3,0.35,0.014,-0.005,1.002,0,0.14,0.37,-0.12
59,2.520,53.8225040,17.3366144,143.2,0.26,0.014,-0.005,1.002,0,0.14,0.38,-0.12
60,2.560,53.8225041,17.3366144,143.2,0.31,0.014,-0.005,1.003,0,0.14,0.38,-0.11
61,2.600,53.8225039,17.3366143,143.2,0.24,0.015,-0.005,1.002,0,0.14,0.38,-0.11
62,2.640,53.8225037,17.3366141,143.2,0.30,0.015,-0.006,1.002,0,0.14,0.38,-0.11
63,2.680,53.8225037,17.3366141,143.2,0.13,0.015,-0.006,1.002,0,0.15,0.38,-0.10
64,2.720,53.8225038,17.3366140,143.3,0.17,0.015,-0.005,1.002,0,0.15,0.38,-0.10
65,2.760,53.8225038,17.3366147,143.3,0.30,0.015,-0.005,1.002,0,0.15,0.38,-0.10
66,2.800,53.8225037,17.3366153,143.4,0.33,0.015,-0.005,1.002,0,0.15,0.38,-0.10
67,2.880,53.8225036,17.3366160,143.5,0.03,0.014,-0.005,1.002,0,0.15,0.38,-0.10
68,2.920,53.8225035,17.3366168,143.5,0.58,0.014,-0.006,1.002,0,0.15,0.37,-0.10
69,2.960,53.8225036,17.3366174,143.6,0.24,0.014,-0.006,1.002,0,0.15,0.38,-0.10
70,3.000,53.8225039,17.3366183,143.8,0.54,0.014,-0.006,1.002,0,0.16,0.37,-0.10
71,3.040,53.8225041,17.3366192,143.9,0.32,0.014,-0.006,1.002,0,0.16,0.37,-0.10
72,3.080,53.8225043,17.3366198,144.0,0.28,0.014,-0.006,1.002,0,0.17,0.37,-0.11
73,3.120,53.8225044,17.3366204,144.1,0.21,0.014,-0.006,1.002,0,0.16,0.38,-0.11
74,3.160,53.8225045,17.3366207,144.2,0.36,0.015,-0.006,1.002,0,0.16,0.37,-0.11
75,3.200,53.8225046,17.3366215,144.3,0.57,0.015,-0.005,1.002,0,0.16,0.38,-0.12
76,3.240,53.8225047,17.3366215,144.3,0.63,0.015,-0.005,1.002,0,0.15,0.37,-0.12
77,3.280,53.8225049,17.3366215,144.3,0.23,0.015,-0.005,1.002,0,0.15,0.38,-0.12
78,3.320,53.8225051,17.3366215,144.4,0.22,0.015,-0.005,1.002,0,0.15,0.38,-0.12
79,3.360,53.8225052,17.3366216,144.4,0.39,0.015,-0.006,1.002,0,0.15,0.38,-0.12
80,3.400,53.8225053,17.3366216,144.5,0.26,0.014,-0.006,1.002,0,0.14,0.38,-0.12
81,3.440,53.8225055,17.3366216,144.5,0.42,0.014,-0.006,1.002,0,0.14,0.38,-0.12
82,3.480,53.8225057,17.3366216,144.6,0.19,0.014,-0.006,1.002,0,0.14,0.38,-0.13
83,3.520,53.8225059,17.3366221,144.7,0.29,0.014,-0.006,1.002,0,0.14,0.38,-0.12
84,3.560,53.8225062,17.3366227,144.8,0.05,0.014,-0.006,1.002,0,0.14,0.38,-0.12
85,3.600,53.8225064,17.3366231,144.9,0.17,0.015,-0.006,1.002,0,0.15,0.38,-0.11
86,3.640,53.8225065,17.3366237,145.0,0.28,0.014,-0.006,1.002,0,0.15,0.38,-0.11
87,3.680,53.8225068,17.3366241,145.2,0.15,0.014,-0.006,1.002,0,0.15,0.38,-0.11
88,3.720,53.8225070,17.3366247,145.3,0.19,0.014,-0.005,1.002,0,0.15,0.38,-0.11
89,3.760,53.8225071,17.3366253,145.4,0.06,0.014,-0.006,1.002,0,0.15,0.38,-0.11
90,3.800,53.8225074,17.3366259,145.6,0.33,0.014,-0.006,1.002,0,0.15,0.38,-0.11
91,3.880,53.8225079,17.3366261,145.7,0.47,0.014,-0.005,1.002,0,0.15,0.38,-0.11
92,3.920,53.8225083,17.3366265,145.8,0.10,0.014,-0.005,1.002,0,0.14,0.38,-0.12
93,3.960,53.8225086,17.3366270,145.9,0.05,0.014,-0.005,1.002,0,0.14,0.37,-0.12
94,4.000,53.8225089,17.3366274,146.1,0.03,0.014,-0.006,1.002,0,0.13,0.37,-0.12
95,4.040,53.8225091,17.3366280,146.2,0.37,0.016,-0.006,1.002,0,0.13,0.37,-0.11
96,4.080,53.8225093,17.3366286,146.3,0.25,0.016,-0.006,1.002,0,0.13,0.38,-0.11
97,4.120,53.8225094,17.3366291,146.4,0.20,0.016,-0.006,1.002,0,0.14,0.38,-0.12
